IATI-code,Funder-code,abbreviation,name,notes
SE-71,SE,EKN,Swedish Export Credits Guarantee Board,
US-GOV-1,,AID,Agency for International Development,updated MB 12 July 2017
US-GOV-10,US,PEACE,Peace Corps,updated/added MB 28 Apr 2017
US-GOV-11,US,STATE,State Department,updated/added MB 28 Apr 2017
US-GOV-12,US,TDA,Trade and Development Agency,updated/added MB 28 Apr 2017
US-GOV-13,US,ADF,African Development Foundation,updated/added MB 28 Apr 2017
US-GOV-14,US,DHHS,Department of Health and Human Services,updated/added MB 28 Apr 2017
US-GOV-15,US,JUSTICE,Department of Justice,updated/added MB 28 Apr 2017
US-GOV-16,US,COMMERCE,Department of Commerce,updated/added MB 28 Apr 2017
US-GOV-17,US,LABOR,Department of Labor,updated/added MB 28 Apr 2017
US-GOV-18,US,MCC,Millennium Challenge Corporation,updated/added MB 28 Apr 2017
US-GOV-19,US,SECURITY,Department of Homeland Security,updated/added MB 28 Apr 2017
US-GOV-20,US,ENERGY,Department of Energy,updated/added MB 28 Apr 2017
US-GOV-21,US,IADF,Inter-American Development Foundation,updated/added MB 28 Apr 2017
US-GOV-22,US,OPIC,Overseas Private Investment Corporation,updated/added MB 28 Apr 2017
US-GOV-23,US,FTC,Federal Trade Commission,updated/added MB 28 Apr 2017
US-GOV-24,US,NRC,Nuclear Regulatory Commission,updated/added MB 28 Apr 2017
US-GOV-25,US,NSF,National Science Foundation,updated/added MB 28 Apr 2017
US-GOV-27,US,IOP,United States Institute of Peace,updated/added MB 28 Apr 2017
US-GOV-28,US,OWLC,Open World Leadership Center,updated/added MB 28 Apr 2017
US-GOV-29,US,PS,United States Postal Service,updated/added MB 28 Apr 2017
US-GOV-30,US,OOP,Executive Office of the President,updated/added MB 28 Apr 2017
US-GOV-32,US,EPA,Environmental Protection Agency,updated/added MB 28 Apr 2017
US-GOV-33,US,BBG,Broadcasting Board of Governors,updated/added MB 28 Apr 2017
US-GOV-2,US,AGR,Department of Agriculture,updated/added MB 28 Apr 2017
US-GOV-31,US,EXIM,Export Import Bank,updated/added MB 28 Apr 2017
US-GOV-26,US,DOT,Department of Transportation,updated/added MB 28 Apr 2017
US-GOV-6,US,DTRE,Department of Treasury,updated/added MB 28 Apr 2017
US-GOV-7,US,DOD,Department of Defense,updated/added MB 28 Apr 2017
US-GOV-99,US,MISC,Miscellaneous,updated/added MB 28 Apr 2018
US-USAGOV,US,USA,United States,
US-GOV-9,US,INTERIOR,Department of Interior,updated/added MB 28 Apr 2020
